,IBB,IYE,IYR,OIH,SMH,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2006-07-20,22.355525970458984,24.47053337097168,42.44923400878906,34.023704528808594,22.277053833007812,22.567209243774414,41.536834716796875,15.485572814941406,24.263713836669922,15.668116569519043,17.264223098754883,20.6356201171875,24.53795623779297,26.06353759765625
2006-07-21,22.212448120117188,24.064285278320312,41.65785217285156,32.93436050415039,21.610506057739258,22.2707576751709,40.972801208496094,15.399703025817871,24.021224975585938,15.504915237426758,17.228973388671875,20.685077667236328,24.649381637573242,25.82457733154297
2006-07-24,22.77174186706543,24.788795471191406,42.385215759277344,33.97305679321289,22.04005241394043,22.60426139831543,42.20618438720703,15.60007381439209,24.415258407592773,15.741568565368652,17.355865478515625,20.876720428466797,25.12693214416504,26.384904861450195
2006-07-25,23.19121551513672,25.25196647644043,42.676185607910156,35.33095169067383,22.4251708984375,22.952592849731445,42.94320297241211,15.638240814208984,24.347063064575195,15.912934303283691,17.44045639038086,20.963266372680664,25.341835021972656,26.62387466430664
2006-07-26,23.428590774536133,25.717737197875977,42.85654830932617,36.41779708862305,22.514028549194336,22.900712966918945,43.80810546875,15.619155883789062,24.036380767822266,15.95373821258545,17.355865478515625,21.03745460510254,25.461214065551758,26.318984985351562
2006-07-27,22.992856979370117,25.5909423828125,42.53650665283203,36.11832046508789,22.637746810913086,22.39674949645996,43.43207550048828,15.528512001037598,23.99090576171875,15.904767990112305,17.243070602416992,20.87053108215332,25.3338623046875,26.261306762695312
2006-07-28,23.334293365478516,25.521076202392578,43.1707878112793,35.87510299682617,23.274799346923828,22.804370880126953,43.44709777832031,15.805213928222656,24.263713836669922,16.182222366333008,17.40520668029785,21.01272964477539,25.46916961669922,26.582672119140625
2006-07-31,23.24649429321289,25.849695205688477,42.97294616699219,36.93159484863281,23.348873138427734,22.900712966918945,44.10893630981445,15.78135871887207,24.165199279785156,16.15775489807129,17.32061195373535,20.91999626159668,25.381616592407227,26.599151611328125
2006-08-01,23.054645538330078,25.960962295532227,42.76926803588867,37.13278579711914,22.71182632446289,22.71543312072754,44.16157531738281,15.733650207519531,24.013639450073242,15.9292631149292,17.236019134521484,21.17963409423828,25.381616592407227,26.35194206237793
2006-08-02,23.308273315429688,25.971311569213867,42.76926803588867,37.27416229248047,23.03636360168457,23.078584671020508,44.251827239990234,15.762276649475098,24.165199279785156,16.12510871887207,17.3911190032959,21.161081314086914,25.540803909301758,26.566186904907227
2006-08-03,23.55540657043457,25.78759765625,43.22898864746094,36.59673309326172,23.25886344909668,23.219398498535156,43.868263244628906,15.829059600830078,24.36222267150879,16.17406463623047,17.43341064453125,21.055997848510742,25.317951202392578,26.730993270874023
