,DBA,DBB,DBC,DBE,DBO,DGL,GLD,GSG,IAU,SLV,UNG,USO
2010-10-13,28.3862247467041,22.5472469329834,24.93610954284668,24.39221954345703,25.619646072387695,47.85329818725586,134.07000732421875,31.3700008392334,13.430000305175781,23.489999771118164,187.52000427246094,36.15999984741211
2010-10-14,28.495058059692383,22.448787689208984,24.896621704101562,24.284029006958008,25.4916934967041,48.09935760498047,134.75,31.31999969482422,13.5,24.030000686645508,186.8800048828125,36.0
2010-10-15,28.2180233001709,22.46847915649414,24.62021255493164,23.890607833862305,25.1472110748291,47.67613983154297,133.67999267578125,30.889999389648438,13.380000114440918,23.75,181.75999450683594,35.470001220703125
2010-10-18,28.297176361083984,22.79339599609375,24.867008209228516,24.293865203857422,25.629487991333008,47.932044982910156,134.27999877929688,30.920000076293945,13.4399995803833,23.959999084472656,178.24000549316406,36.279998779296875
2010-10-19,28.099294662475586,21.976181030273438,24.13649559020996,23.398828506469727,24.63541030883789,46.416324615478516,130.11000061035156,30.239999771118164,13.039999961853027,22.84000015258789,179.52000427246094,34.619998931884766
2010-10-20,28.861141204833984,22.39955711364746,24.70905876159668,23.900442123413086,25.16689682006836,46.87891387939453,131.32000732421875,30.8799991607666,13.140000343322754,23.329999923706055,179.52000427246094,35.59000015258789
2010-10-21,28.79188346862793,22.438941955566406,24.403032302856445,23.546361923217773,24.802730560302734,46.19979476928711,129.47000122070312,30.540000915527344,12.970000267028809,22.59000015258789,173.44000244140625,34.849998474121094
2010-10-22,28.821563720703125,22.773704528808594,24.610342025756836,23.802087783813477,25.157052993774414,46.258846282958984,129.72999572753906,30.829999923706055,12.979999542236328,22.760000228881836,170.55999755859375,35.4900016784668
2010-10-25,29.10849380493164,22.99031639099121,24.73867416381836,23.85126495361328,25.1472110748291,46.69190979003906,130.85000610351562,30.889999389648438,13.109999656677246,23.100000381469727,170.8800048828125,35.56999969482422
2010-10-26,29.266799926757812,23.275848388671875,24.867008209228516,23.929948806762695,25.225950241088867,46.701751708984375,130.8800048828125,31.100000381469727,13.100000381469727,23.280000686645508,173.1199951171875,35.68000030517578
2010-10-27,29.217330932617188,22.517709732055664,24.78803253173828,23.870935440063477,25.157052993774414,46.19979476928711,129.52000427246094,30.8799991607666,12.960000038146973,23.06999969482422,174.39999389648438,35.41999816894531
2010-10-28,29.227224349975586,22.566938400268555,24.916366577148438,23.890607833862305,25.176738739013672,46.800174713134766,131.24000549316406,30.989999771118164,13.140000343322754,23.43000030517578,180.16000366210938,35.38999938964844
2010-10-29,29.385530471801758,22.39955711364746,24.857135772705078,23.811920166015625,24.930679321289062,47.32181930541992,132.6199951171875,30.8799991607666,13.279999732971191,24.170000076293945,186.24000549316406,35.16999816894531
2010-11-01,29.1579647064209,22.527555465698242,25.01508331298828,24.03814125061035,25.33421516418457,47.06591796875,131.9199981689453,31.1200008392334,13.210000038146973,24.06999969482422,176.63999938964844,35.810001373291016
2010-11-02,29.395421981811523,22.79339599609375,25.24213409423828,24.293865203857422,25.570432662963867,47.243080139160156,132.49000549316406,31.489999771118164,13.270000457763672,24.309999465942383,178.8800048828125,36.27000045776367
2010-11-03,29.415210723876953,22.79339599609375,25.360595703125,24.647945404052734,25.914915084838867,46.96749496459961,131.57000732421875,31.690000534057617,13.170000076293945,24.25,176.63999938964844,36.7400016784668
2010-11-04,30.07811737060547,23.403846740722656,25.9627742767334,25.04136848449707,26.347978591918945,48.51273727416992,136.02999877929688,32.540000915527344,13.609999656677246,25.6299991607666,178.8800048828125,37.4900016784668
2010-11-05,30.008859634399414,23.423538208007812,26.07136344909668,25.110218048095703,26.48577117919922,48.64068603515625,136.3800048828125,32.59000015258789,13.649999618530273,26.200000762939453,181.1199951171875,37.650001525878906
