,EWA,EWC,EWG,EWH,EWI,EWJ,EWL,EWM,EWP,EWS,EWT,EWU,EWW,EWY,EWZ,EZA
2010-06-04,12.161694526672363,21.05211067199707,14.857161521911621,10.811307907104492,20.009923934936523,32.15788650512695,15.507678031921387,23.156980514526367,19.820703506469727,15.22325611114502,17.559341430664062,18.973421096801758,40.36731719970703,38.84185028076172,47.400421142578125,39.60784912109375
2010-06-07,11.88761043548584,20.871896743774414,14.712684631347656,10.781486511230469,19.800392150878906,31.64087677001953,15.427742004394531,22.968713760375977,19.50362205505371,15.069347381591797,17.226839065551758,18.822725296020508,39.92020797729492,38.12336730957031,46.581581115722656,39.44233703613281
2010-06-08,12.384783744812012,21.224132537841797,14.833083152770996,10.975340843200684,20.12965202331543,31.951078414916992,15.75547981262207,23.282489776611328,19.743053436279297,15.209266662597656,17.385173797607422,18.94602394104004,40.763824462890625,38.88566207885742,47.75244903564453,40.15700912475586
2010-06-09,12.416657447814941,21.125837326049805,14.945455551147461,11.027533531188965,20.12965202331543,31.98555564880371,15.715511322021484,23.366167068481445,19.710697174072266,15.18128490447998,17.27433967590332,18.863826751708984,40.89036178588867,38.465084075927734,47.813663482666016,39.69058609008789
2010-06-10,13.079557418823242,21.78115463256836,15.547445297241211,11.176654815673828,21.297019958496094,32.537017822265625,16.17914390563965,23.763626098632812,21.21196937561035,15.671002388000488,17.86017608642578,19.60358428955078,42.3582649230957,39.23613357543945,49.81864929199219,41.44342041015625
2010-06-11,13.149672508239746,21.78115463256836,15.52336597442627,11.251215934753418,21.611312866210938,32.46809387207031,16.139175415039062,23.742704391479492,22.007909774780273,15.75495719909668,18.0026798248291,19.562490463256836,42.81382369995117,39.52528381347656,50.23955154418945,41.21772766113281
2010-06-14,13.245285034179688,21.8384952545166,15.6517915725708,11.258673667907715,22.015405654907227,32.67489242553711,16.17115020751953,23.847299575805664,21.86553955078125,15.810919761657715,18.034347534179688,19.726879119873047,42.68727493286133,40.24375915527344,49.719173431396484,41.30048370361328
2010-06-15,13.53211784362793,22.428281784057617,16.165489196777344,11.459985733032227,23.287532806396484,33.26082992553711,16.65876579284668,24.16108512878418,23.120922088623047,16.118745803833008,18.588520050048828,20.233747482299805,43.80086135864258,41.28643798828125,51.180824279785156,43.03826141357422
2010-06-16,13.442879676818848,22.46923828125,16.093250274658203,11.467445373535156,23.048076629638672,33.398712158203125,16.59481430053711,24.119243621826172,22.855609893798828,16.202699661254883,18.636018753051758,20.206350326538086,43.9864501953125,41.3477783203125,51.379783630371094,43.083404541015625
2010-06-17,13.4110107421875,22.46923828125,16.23772621154785,11.459985733032227,23.152841567993164,33.32977294921875,16.80264663696289,24.119243621826172,23.036794662475586,16.118745803833008,18.509349822998047,20.22005271911621,43.918975830078125,41.19005584716797,51.13491439819336,43.399356842041016
